,date,ticker,variable,value
394,2018-04-25,NFLX,open,306.37
395,2018-04-26,AAPL,open,161.6583
396,2018-04-26,AMZN,open,1485.01
397,2018-04-26,FB,open,173.22
398,2018-04-26,GOOG,open,1029.51
399,2018-04-26,NFLX,open,310.0
400,2018-04-27,AAPL,open,161.5401
401,2018-04-27,AMZN,open,1634.01
402,2018-04-27,FB,open,176.81
403,2018-04-27,GOOG,open,1046.0
404,2018-04-27,NFLX,open,316.25
405,2018-04-30,AAPL,open,159.6984
406,2018-04-30,AMZN,open,1582.5
407,2018-04-30,FB,open,173.79
408,2018-04-30,GOOG,open,1030.01
409,2018-04-30,NFLX,open,311.07
410,2018-05-01,AAPL,open,163.9142
411,2018-05-01,AMZN,open,1563.22
412,2018-05-01,FB,open,172.0
413,2018-05-01,GOOG,open,1013.66
414,2018-05-01,NFLX,open,310.36
415,2018-05-02,AAPL,open,172.5968
416,2018-05-02,AMZN,open,1580.98
417,2018-05-02,FB,open,174.24599999999998
418,2018-05-02,GOOG,open,1028.1
419,2018-05-02,NFLX,open,311.65
420,2018-05-03,AAPL,open,173.24200000000002
421,2018-05-03,AMZN,open,1560.01
422,2018-05-03,FB,open,175.13
423,2018-05-03,GOOG,open,1019.0
424,2018-05-03,NFLX,open,312.59
425,2018-05-04,AAPL,open,175.5764
426,2018-05-04,AMZN,open,1562.45
427,2018-05-04,FB,open,173.08
428,2018-05-04,GOOG,open,1016.9
429,2018-05-04,NFLX,open,308.71
430,2018-05-07,AAPL,open,182.4025
431,2018-05-07,AMZN,open,1589.34
432,2018-05-07,FB,open,177.35
433,2018-05-07,GOOG,open,1049.23
434,2018-05-07,NFLX,open,321.9947
435,2018-05-08,AAPL,open,182.2153
436,2018-05-08,AMZN,open,1595.0
437,2018-05-08,FB,open,178.25
438,2018-05-08,GOOG,open,1058.54
439,2018-05-08,NFLX,open,325.9
440,2018-05-09,AAPL,open,183.7519
441,2018-05-09,AMZN,open,1600.0
442,2018-05-09,FB,open,179.67
443,2018-05-09,GOOG,open,1058.1
444,2018-05-09,NFLX,open,328.79
445,2018-05-10,AAPL,open,184.9241
446,2018-05-10,AMZN,open,1608.48
447,2018-05-10,FB,open,183.15
448,2018-05-10,GOOG,open,1086.03
449,2018-05-10,NFLX,open,331.5
450,2018-05-11,AAPL,open,187.3675
451,2018-05-11,AMZN,open,1610.99
452,2018-05-11,FB,open,184.85
453,2018-05-11,GOOG,open,1093.6
454,2018-05-11,NFLX,open,329.65
455,2018-05-14,AAPL,open,186.8929
456,2018-05-14,AMZN,open,1604.0
457,2018-05-14,FB,open,187.71
458,2018-05-14,GOOG,open,1100.0
459,2018-05-14,NFLX,open,327.25
460,2018-05-15,AAPL,open,184.6879
461,2018-05-15,AMZN,open,1587.8
462,2018-05-15,FB,open,184.88
463,2018-05-15,GOOG,open,1090.0
464,2018-05-15,NFLX,open,325.94
465,2018-05-16,AAPL,open,183.9858
466,2018-05-16,AMZN,open,1577.5
467,2018-05-16,FB,open,183.6952
468,2018-05-16,GOOG,open,1077.31
469,2018-05-16,NFLX,open,326.28
470,2018-05-17,AAPL,open,185.8942
471,2018-05-17,AMZN,open,1580.56
472,2018-05-17,FB,open,182.68
473,2018-05-17,GOOG,open,1079.89
474,2018-05-17,NFLX,open,327.53
475,2018-05-18,AAPL,open,185.0933
476,2018-05-18,AMZN,open,1581.33
477,2018-05-18,FB,open,183.49
478,2018-05-18,GOOG,open,1061.86
479,2018-05-18,NFLX,open,324.9
480,2018-05-21,AAPL,open,185.8942
481,2018-05-21,AMZN,open,1585.0
482,2018-05-21,FB,open,183.77
483,2018-05-21,GOOG,open,1074.06
484,2018-05-21,NFLX,open,327.11
485,2018-05-22,AAPL,open,186.265
486,2018-05-22,AMZN,open,1589.89
487,2018-05-22,FB,open,184.93
488,2018-05-22,GOOG,open,1083.56
489,2018-05-22,NFLX,open,334.05
490,2018-05-23,AAPL,open,184.2627
491,2018-05-23,AMZN,open,1571.05
492,2018-05-23,FB,open,182.5
493,2018-05-23,GOOG,open,1065.13
494,2018-05-23,NFLX,open,329.04
495,2018-05-24,AAPL,open,186.6556
496,2018-05-24,AMZN,open,1598.03
497,2018-05-24,FB,open,185.88
498,2018-05-24,GOOG,open,1079.0
499,2018-05-24,NFLX,open,344.34
